1,RO86 EJMD 5NST UYIG ESOF 2CVH,9694.86,Ingreso,2023-12-19
2,SK87 8051 6933 7156 8509 8275,-7488.59,Retiro,2023-12-19
3,FR44 6114 3660 42TR KXY7 UP4H F76,5521.29,Ingreso,2023-12-19
4,DE45 8584 5265 7512 0339 98,-9857.59,Retiro,2023-12-19
5,FI26 3169 5920 9826 70,5488.67,Ingreso,2023-12-19
6,ME76 9916 5267 2589 4117 87,3827.58,Ingreso,2023-12-19
7,ES30 9132 6841 5679 7911 0887,5049.01,Ingreso,2023-12-19
8,FR43 8024 0202 79JK Q5AI BLOW D74,7818.71,Ingreso,2023-12-19
9,FO15 1207 4540 5536 33,4846.83,Ingreso,2023-12-19
10,DK70 7379 8670 2931 84,-7880.25,Retiro,2023-12-19
11,MD08 T8QD PDRH RUYY FQ6P ETG7,-4442.68,Retiro,2023-12-19
12,BG31 MPPH 6210 36GK EUR4 XW,8436.63,Ingreso,2023-12-19
13,FR16 9270 9246 020S YCCX NPQL X74,1721.9,Ingreso,2023-12-19
14,IE18 PDRQ 8702 2588 4225 86,4667.71,Ingreso,2023-12-19
15,KZ58 6812 HVVQ OCRX UVPP,1586.37,Ingreso,2023-12-19
16,KZ22 3746 ZFAS LSFT ALRH,1368.7,Ingreso,2023-12-19
17,FR97 2338 5795 46BH K4V1 ZDAU A73,8271.81,Ingreso,2023-12-19
18,BH65 IAMA ZRQF 3KVP LQSV GM,-6559.65,Retiro,2023-12-19
19,FR93 7401 9468 81GL S9KM PJHP V26,-6094.39,Retiro,2023-12-19
20,LU20 429B N64G DJZ5 PBYP,-9342.03,Retiro,2023-12-19
21,GL72 0079 3304 2349 18,2801.17,Ingreso,2023-12-19
22,LT43 0764 5757 3776 9451,-6717.83,Retiro,2023-12-19
23,FR60 7702 1702 68C7 MQWA AXDA Y75,6388.04,Ingreso,2023-12-19
24,MD23 OS3U S1NA DRJE UYXY DHFX,-7739.34,Retiro,2023-12-19
25,FR90 4400 8723 26RK G8YB 0B2W A02,-4.75,Retiro,2023-12-19
26,FR48 7083 0486 83LO LQAH MDOM J08,281.42,Ingreso,2023-12-19
27,KW76 IURN E8VC VO9D NJIB QQUF ATVK WD,-7438.0,Retiro,2023-12-19
28,AD30 6197 2716 DFRX ZGLL Z8YG,-7997.56,Retiro,2023-12-19
29,FR55 8172 0160 72FP SP23 0O6G E84,1646.64,Ingreso,2023-12-19
30,AT16 3947 6074 3929 4577,8956.35,Ingreso,2023-12-19
31,PK88 ENAP NRA4 A96X HAS8 LCXG,-5900.67,Retiro,2023-12-19
32,BH77 ITTR 6YO8 J8DA 1G9O TO,-6482.73,Retiro,2023-12-19
33,PS14 FKPT RX1O WMHD LST6 OA3T RY76 9,-5353.51,Retiro,2023-12-19
34,MK71 8919 NG3M JFDR W35,-8653.37,Retiro,2023-12-19
35,GE54 JC22 0280 7530 4538 73,2710.11,Ingreso,2023-12-19
36,SI38 5159 4491 6035 408,1555.14,Ingreso,2023-12-19
37,AL34 3697 5070 CC1K D5TQ PWH7 H4MQ,8086.77,Ingreso,2023-12-19
38,AL06 0538 1251 1JYW R29F 12ZR RALX,5148.93,Ingreso,2023-12-19
