id,accountId,amount,transactionType,transactionDate
1,SE74 2008 9176 0911 7444 4183,6853.94,Ingreso,2023-10-10
2,TR96 8607 3BKQ N9AJ JXRT ERBF NH,-140.67,Retiro,2023-09-09
3,AD05 5824 4961 Z1FW V0HS ZD04,-4999.95,Retiro,2023-11-04
4,MD10 RNY0 DQJU JFUX 4XKD BEEH,2000.44,Ingreso,2023-05-28
5,FO67 2448 0674 7233 40,2252.91,Ingreso,2023-11-03
6,IL67 2844 9763 5234 0950 261,6481.89,Ingreso,2022-12-22
7,BR60 6926 8967 6311 7039 7400 568Y S,-4832.0,Retiro,2023-03-06
8,SE28 3186 5091 6196 9269 5219,-2364.41,Retiro,2023-08-02
9,AL05 7242 0199 DX59 HUXT I2JD IODK,5874.06,Ingreso,2023-11-01
10,PT94 9870 9132 0811 1722 5355 2,-5360.57,Retiro,2023-11-02
11,RS32 1896 5969 2867 9522 79,-8845.81,Retiro,2023-11-20
12,FR17 7252 3353 061V 3UO6 6OBA W24,134.6,Ingreso,2023-08-14
13,PK71 UOJW RRQ0 PNEM XVOA IKWV,9829.56,Ingreso,2023-09-25
14,MD82 LNZE WOKJ UQJB OXTX QOKA,2613.37,Ingreso,2023-07-01
15,TN91 4387 6625 5154 9220 9480,-5353.8,Retiro,2023-09-22
16,FR20 8227 3581 07DO R5LR 5HYE L85,5154.66,Ingreso,2023-07-12
17,FR02 4566 2363 03SW BN5O 1BJA Z15,-9517.49,Retiro,2023-01-26
18,RS48 5357 5113 9931 8765 33,-8536.15,Retiro,2023-11-26
19,FR58 3267 8167 52O3 HDTU OXQX Q73,6096.33,Ingreso,2023-11-06
20,GI19 OGAG 2QYO TWHQ 5QR3 EJK,56.91,Ingreso,2023-09-28
21,FR83 3561 6454 17CW BDUQ FBXQ O00,4899.79,Ingreso,2023-03-18
22,RS42 5969 9853 9081 5995 87,-4995.17,Retiro,2023-09-01
23,GR72 6428 749P SGEZ HYW2 ZBEV 03V,6094.3,Ingreso,2023-08-29
24,LB35 0107 ZFPE THQR T3NL PRQI VCZF,-4837.01,Retiro,2023-07-21
25,BE46 0498 7895 2532,4278.61,Ingreso,2023-05-01
26,IS94 6123 3312 1466 8880 7859 06,160.34,Ingreso,2023-06-26
27,BH11 JSET M3AF WVGV YFDA QV,6069.09,Ingreso,2023-05-01
28,SM42 R530 3140 769K VPVS DXQY 3KI,9319.2,Ingreso,2023-05-01
29,HR63 2929 6557 5071 9241 7,-2725.3,Retiro,2023-06-19
30,VG16 MBDF 7003 8345 2914 2173,-8612.57,Retiro,2023-02-26
31,TR20 9593 7OHU 0WYN 7BYG ORGT SN,-156.1,Retiro,2023-06-11
32,GE96 LM26 7844 5531 5902 77,-5817.5,Retiro,2023-04-27
33,CZ03 7056 3331 3773 9980 5766,8962.93,Ingreso,2023-06-29
