id,accountId,transactionType,amount,transactionDate
1,MR61 0657 0677 1679 0059 3689 890,INGRESO,-440,2023-12-19
2,MC81 1018 3236 13LW YI8N GXKY W49,INGRESO,3063,2023-12-19
3,AD93 4853 2169 RBPT ZOIQ K0MP,INGRESO,7165,2023-12-19
4,AE46 7824 7456 4766 5664 019,RETIRO,-8806,2023-12-19
5,SK51 8387 9147 7745 5074 8037,INGRESO,-4329,2023-12-19
6,LU98 726W CSJW GTJP P1YS,RETIRO,-9800,2023-12-19
7,LT29 7438 0544 2832 0052,INGRESO,-1253,2023-12-19
8,CH41 5235 4K6J ZJC6 7AUX 7,INGRESO,6333,2023-12-19
9,IT42 N501 0866 267W 6A46 4JE4 X1N,INGRESO,3551,2023-12-19
10,SE75 2715 4079 1149 1941 0311,INGRESO,-2111,2023-12-19
11,GT04 Z9OM OEWV GDHU OR1R 4YFY YZUF,RETIRO,-3718,2023-12-19
12,NL71 NOZG 7001 3141 09,RETIRO,-2177,2023-12-19
13,VG89 OAZL 1085 8091 2237 1795,INGRESO,-2653,2023-12-19
14,FR83 1703 8845 51QG BZVW TAXY U28,RETIRO,-5107,2023-12-19
15,EE85 2461 2164 7640 8901,INGRESO,5611,2023-12-19
16,VG23 DRZW 8142 8586 9200 0847,INGRESO,-4043,2023-12-19
17,BE05 6711 2602 7337,INGRESO,4095,2023-12-19
18,MC95 7145 6567 3169 GSRZ PRYH N95,INGRESO,6269,2023-12-19
19,FR14 6826 5326 63TH 6LCJ X8BY T97,RETIRO,-2116,2023-12-19
20,RS56 8603 1139 9526 2585 60,INGRESO,2232,2023-12-19
21,GI32 DJTO KJII USRQ GV3C TGZ,RETIRO,7607,2023-12-19
22,AD46 3952 5941 S01C RRBI RBOV,RETIRO,-4556,2023-12-19
23,SE63 3154 3881 9478 6484 9044,INGRESO,7127,2023-12-19
24,BR98 3668 4201 0242 8978 4530 697F Q,RETIRO,5490,2023-12-19
25,KZ77 020R N3ZA WBSR GGU3,INGRESO,6254,2023-12-19
26,LI61 3261 8EIM 22T7 9S0G U,INGRESO,217,2023-12-19
27,MK33 0526 IY2N JUYE W80,INGRESO,4942,2023-12-19
28,GR96 0826 990F SQZZ WG7H 7Z8Z 5DH,INGRESO,-4516,2023-12-19
